ZCTA5,concat_county_name,concat_state_name
01562,Worcester County,Massachusetts
01564,Worcester County,Massachusetts
01566,Worcester County,Massachusetts
01568,Worcester County,Massachusetts
01569,Worcester County,Massachusetts
01570,Worcester County,Massachusetts
01571,Worcester County,Massachusetts
01581,Worcester County,Massachusetts
01583,Worcester County,Massachusetts
01585,Worcester County,Massachusetts
01588,Worcester County,Massachusetts
01590,Worcester County,Massachusetts
01602,Worcester County,Massachusetts
01603,Worcester County,Massachusetts
01604,Worcester County,Massachusetts
01605,Worcester County,Massachusetts
01606,Worcester County,Massachusetts
01607,Worcester County,Massachusetts
01608,Worcester County,Massachusetts
01609,Worcester County,Massachusetts
01610,Worcester County,Massachusetts
01611,Worcester County,Massachusetts
01612,Worcester County,Massachusetts
01701,Middlesex County,Massachusetts
01702,Middlesex County,Massachusetts
01718,Middlesex County,Massachusetts
01719,Middlesex County,Massachusetts
01720,Middlesex County,Massachusetts
01721,Middlesex County,Massachusetts
01730,Middlesex County,Massachusetts
01731,Middlesex County,Massachusetts
01740,Worcester County,Massachusetts
01741,Middlesex County,Massachusetts
01742,Middlesex County,Massachusetts
01745,Worcester County,Massachusetts
01746,Middlesex County,Massachusetts
01747,Worcester County,Massachusetts
01748,Middlesex County,Massachusetts
01749,Middlesex County,Massachusetts
01752,Middlesex County,Massachusetts
01754,Middlesex County,Massachusetts
01756,Worcester County,Massachusetts
01757,Worcester County,Massachusetts
01760,Middlesex County,Massachusetts
01770,Middlesex County,Massachusetts
01772,Worcester County,Massachusetts
01773,Middlesex County,Massachusetts
01775,Middlesex County,Massachusetts
01776,Middlesex County,Massachusetts
01778,Middlesex County,Massachusetts
01801,Middlesex County,Massachusetts
01803,Middlesex County,Massachusetts
01810,Essex County,Massachusetts
01821,Middlesex County,Massachusetts
01824,Middlesex County,Massachusetts
01826,Middlesex County,Massachusetts
01827,Middlesex County,Massachusetts
01830,Essex County,Massachusetts
01832,Essex County,Massachusetts
01833,Essex County,Massachusetts
01834,Essex County,Massachusetts
01835,Essex County,Massachusetts
01840,Essex County,Massachusetts
01841,Essex County,Massachusetts
01843,Essex County,Massachusetts
01844,Essex County,Massachusetts
01845,Essex County,Massachusetts
01850,Middlesex County,Massachusetts
01851,Middlesex County,Massachusetts
01852,Middlesex County,Massachusetts
01854,Middlesex County,Massachusetts
01860,Essex County,Massachusetts
01862,Middlesex County,Massachusetts
01863,Middlesex County,Massachusetts
01864,Middlesex County,Massachusetts
01867,Middlesex County,Massachusetts
01876,Middlesex County,Massachusetts
01879,Middlesex County,Massachusetts
01880,Middlesex County,Massachusetts
01886,Middlesex County,Massachusetts
01887,Middlesex County,Massachusetts
01890,Middlesex County,Massachusetts
01901,Essex County,Massachusetts
01902,Essex County,Massachusetts
01904,Essex County,Massachusetts
01905,Essex County,Massachusetts
01906,Essex County,Massachusetts
01907,Essex County,Massachusetts
01908,Essex County,Massachusetts
01913,Essex County,Massachusetts
01915,Essex County,Massachusetts
01921,Essex County,Massachusetts
01922,Essex County,Massachusetts
01923,Essex County,Massachusetts
01929,Essex County,Massachusetts
01930,Essex County,Massachusetts
01937,Essex County,Massachusetts
01938,Essex County,Massachusetts
01940,Essex County|Middlesex County,Massachusetts
01944,Essex County,Massachusetts
01945,Essex County,Massachusetts
01949,Essex County,Massachusetts
01950,Essex County,Massachusetts
01951,Essex County,Massachusetts
01952,Essex County,Massachusetts
01960,Essex County,Massachusetts
01966,Essex County,Massachusetts
01969,Essex County,Massachusetts
01970,Essex County,Massachusetts
01982,Essex County,Massachusetts
01983,Essex County,Massachusetts
01984,Essex County,Massachusetts
01985,Essex County,Massachusetts
02019,Norfolk County,Massachusetts
02021,Norfolk County,Massachusetts
02025,Norfolk County,Massachusetts
02026,Norfolk County,Massachusetts
02030,Norfolk County,Massachusetts
02032,Norfolk County,Massachusetts
02035,Norfolk County,Massachusetts
02038,Norfolk County,Massachusetts
02043,Plymouth County,Massachusetts
02045,Plymouth County,Massachusetts
02047,Plymouth County,Massachusetts
02048,Bristol County,Massachusetts
02050,Plymouth County,Massachusetts
02052,Norfolk County,Massachusetts
02053,Norfolk County,Massachusetts
